name,icon
Maths,calculator-variant
Greek,web
English,web
German,web
Spanish,web
Polish,web
Portuguese,web
Czech,web
Slovak,web
Slovenian,web
Piano,piano
Saxophone,saxophone
Guitar,guitar-acoustic
Drums,music-note
Vocals,microphone-variant
Biology,leaf
Flute,music-note
Computer Science,laptop
Physics,atom
Chemistry,chemical-weapon
Blacksmithing,anvil
Carpentry,hand-saw
Pottery,pot
Violin,violin
Sailing,sail-boat
Geography,map
Latin,web
